,110029,161820,000985.CSI,399373.SZ,399372.SZ,399375.SZ,399374.SZ,399377.SZ,399376.SZ
日期,基金A,基金B,基金A基准,大盘价值,大盘成长,中盘价值,中盘成长,小盘价值,小盘成长
2015/6/17,7.4671 ,1.2279 ,7686.7935 ,7689.3200,4850.2450,9972.8710,7782.2810,10953.9420,11414.0060
2015/6/18,7.0480 ,1.2301 ,7411.9047 ,7373.8000,4644.1660,9747.9480,7454.4450,10683.3330,10986.8250
2015/6/19,6.7763 ,1.2301 ,6943.0370 ,6960.2160,4376.9950,8985.2810,6956.9650,9880.4670,10277.3270
2015/6/23,6.8962 ,1.2313 ,7048.7402 ,7216.1140,4530.4810,9105.9190,7026.5670,9925.6370,10317.9870
2015/6/24,6.7792 ,1.2324 ,7195.7750 ,7372.4580,4619.6540,9432.2200,7169.3400,10237.4000,10471.5530
2015/6/25,6.3801 ,1.2335 ,6932.3883 ,7176.7740,4461.2270,9119.4700,6877.9320,9856.3550,10063.2400
2015/6/26,5.8538 ,1.2347 ,6377.0690 ,6710.7840,4146.9990,8349.2010,6265.0960,8989.9520,9216.9340
2015/6/29,5.3889 ,1.2358 ,6044.1548 ,6671.5240,4092.4250,7959.0410,5835.2920,8433.7810,8606.3780
2015/6/30,5.7154 ,1.2369 ,6374.8301 ,7115.4190,4377.8620,8363.7260,6170.1670,8846.9060,9057.6170
2015/7/1,5.4823 ,1.2369 ,6038.6858 ,6788.8800,4209.8080,7887.1440,5910.9970,8280.5510,8631.2150
2015/7/2,5.2451 ,1.2369 ,5725.8337 ,6661.4200,4131.9500,7329.5860,5581.2840,7652.2310,8077.1650
2015/7/3,5.1504 ,1.2369 ,5390.6839 ,6269.8530,3936.7490,6803.5540,5328.1550,7079.0580,7649.0540
2015/7/6,4.7983 ,1.2392 ,5353.8637 ,6634.1010,4075.5600,6736.0380,5267.4610,6902.5720,7440.2020
2015/7/7,4.3798 ,1.2414 ,5145.5055 ,6828.5010,3994.2630,6297.3810,4966.0950,6370.0650,7064.5890
2015/7/8,4.1935 ,1.2448 ,4900.4210 ,6323.3730,3743.9890,5927.8310,4822.7330,6133.6220,6978.9640
2015/7/9,4.4518 ,1.2448 ,5144.1341 ,6729.6350,3970.5020,6299.0020,5010.8940,6500.2490,7209.5350
2015/7/10,4.7772 ,1.2460 ,5386.2161 ,6993.2610,4132.9980,6724.9210,5250.2050,6924.9960,7483.9540
2015/7/13,5.1418 ,1.2471 ,5598.6399 ,6982.4380,4202.0840,7244.6840,5574.9810,7428.2340,7879.4860
2015/7/14,5.2772 ,1.2482 ,5610.2023 ,6715.9310,4114.0570,7300.1260,5673.9940,7503.8390,8020.7640
2015/7/15,4.9245 ,1.2494 ,5375.3762 ,6657.5840,4030.8430,6783.2690,5333.5260,6968.4450,7623.4520
2015/7/16,4.9424 ,1.2505 ,5437.8070 ,6631.6330,4031.7450,6974.6600,5450.8850,7124.1250,7752.5670
2015/7/17,5.2701 ,1.2505 ,5691.5480 ,6767.1230,4161.7900,7368.1670,5734.6440,7553.0200,8176.6470
2015/7/20,5.4073 ,1.2539 ,5768.4870 ,6738.7120,4149.0860,7466.5770,5820.4200,7659.1610,8375.0610
2015/7/21,5.4972 ,1.2550 ,5830.5208 ,6710.7630,4115.8170,7516.6310,5883.3460,7768.5460,8546.6440
2015/7/22,5.5844 ,1.2561 ,5869.7439 ,6638.2620,4098.8300,7596.7330,5925.7410,7878.0600,8634.7120
2015/7/23,5.7672 ,1.2573 ,6026.9522 ,6762.2950,4181.6610,7809.0170,6046.2880,8151.7900,8901.0490
2015/7/24,5.6749 ,1.2584 ,5940.2568 ,6666.8570,4111.3340,7702.5230,5952.9710,8023.0640,8737.0520
2015/7/27,5.1966 ,1.2595 ,5478.8748 ,6096.8630,3776.9650,7090.0340,5525.2980,7362.8760,8071.7610
2015/7/28,4.9061 ,1.2607 ,5375.7202 ,6097.0030,3822.3340,6999.2700,5399.2870,7221.1500,7848.9390
2015/7/29,5.1168 ,1.2607 ,5590.3123 ,6201.4030,3907.7350,7376.8230,5622.7140,7604.2870,8186.2290
2015/7/30,4.8599 ,1.2629 ,5433.3947 ,6041.2200,3791.6560,7172.2960,5455.7100,7404.8480,7876.7520
2015/7/31,4.7685 ,1.2641 ,5380.0085 ,6071.5050,3831.5990,7165.8490,5445.7940,7322.8050,7792.4560
2015/8/3,4.4995 ,1.2652 ,5270.2944 ,6192.6920,3891.6750,7123.5590,5375.4410,7161.1010,7537.3580
2015/8/4,4.7784 ,1.2663 ,5507.6309 ,6290.7700,3975.6240,7461.1110,5602.6330,7575.7550,7958.4230
2015/8/5,4.6849 ,1.2663 ,5433.9836 ,6171.8410,3885.0440,7344.0700,5507.1660,7490.0760,7836.1910
2015/8/6,4.6173 ,1.2674 ,5400.5505 ,6124.5200,3855.7870,7267.9020,5460.6130,7443.7950,7795.2150
2015/8/7,4.8397 ,1.2686 ,5547.1084 ,6203.9970,3917.0100,7463.4420,5616.3980,7665.2180,8034.7980
2015/8/10,5.1439 ,1.2697 ,5811.6997 ,6428.5610,4045.2760,7827.5700,5869.7200,8059.1780,8420.0770
2015/8/11,5.1674 ,1.2686 ,5822.5337 ,6380.3630,4013.7520,7832.4050,5880.8100,8141.4510,8421.3720
2015/8/12,5.0650 ,1.2686 ,5748.4985 ,6289.9490,3935.7880,7763.5980,5809.0060,8045.0360,8277.8020
2015/8/13,5.1772 ,1.2697 ,5871.1454 ,6335.7980,3972.9040,7979.5150,5927.0300,8267.0720,8480.3920
2015/8/14,5.1525 ,1.2708 ,5898.5853 ,6322.5750,3965.8040,8003.8220,5946.3240,8389.2470,8543.6940
2015/8/17,5.0954 ,1.2720 ,5963.3582 ,6275.7300,3960.0300,8243.9450,6013.6140,8661.5040,8671.7850
2015/8/18,4.7245 ,1.2720 ,5561.4437 ,5952.7080,3752.9320,7591.1080,5634.7690,7925.2230,8029.9780
2015/8/19,4.8754 ,1.2720 ,5674.2758 ,6013.4490,3818.3680,7751.8410,5754.8990,8135.6820,8232.8650
2015/8/20,4.7331 ,1.2731 ,5490.6471 ,5871.4830,3719.1910,7461.4270,5577.1710,7787.8050,7970.2460
2015/8/21,4.4247 ,1.2731 ,5215.0209 ,5676.4230,3561.4660,7074.3880,5308.2860,7307.2150,7501.9620
2015/8/24,4.0449 ,1.2742 ,4788.0352 ,5183.7620,3252.7220,6511.6680,4923.1150,6657.6780,6896.0840
2015/8/25,3.7101 ,1.2742 ,4442.4837 ,4864.2240,3068.8660,5997.1530,4588.7340,6093.2200,6397.6940
2015/8/26,3.5571 ,1.2754 ,4334.1371 ,4985.8190,3119.9800,5829.8160,4468.1050,5890.9820,6162.1150
2015/8/27,3.7145 ,1.2754 ,4530.1391 ,5305.4660,3304.3110,6081.6520,4622.6620,6192.5800,6375.1700
2015/8/28,3.9729 ,1.2754 ,4764.9409 ,5448.4980,3389.6200,6442.1200,4841.0530,6615.1910,6752.1370
2015/8/31,3.7970 ,1.2754 ,4684.9614 ,5566.1360,3428.3030,6339.2630,4706.0390,6354.5120,6468.0030
2015/9/1,3.5961 ,1.2754 ,4529.7801 ,5661.7790,3445.9280,6146.5440,4511.1340,5960.3150,6075.6600
2015/9/2,3.5716 ,1.2765 ,4466.5665 ,5727.5810,3448.0760,6094.0840,4503.2460,5895.2510,6021.6330
2015/9/7,3.5800 ,1.2765 ,4421.3317 ,5428.8890,3308.9380,6047.4030,4490.7220,5933.6680,6080.1410
2015/9/8,3.7607 ,1.2776 ,4575.4331 ,5525.6080,3394.5880,6247.9160,4640.5660,6186.1810,6348.5700
2015/9/9,3.8753 ,1.2776 ,4701.4830 ,5591.1440,3446.4740,6401.4640,4759.5480,6370.7100,6537.6200
2015/9/10,3.8110 ,1.2776 ,4637.7002 ,5577.3430,3430.8300,6272.6330,4680.2660,6226.7250,6443.3900
2015/9/11,3.8642 ,1.2776 ,4657.6949 ,5544.8800,3427.8870,6333.3810,4700.5670,6288.7460,6498.4320
2015/9/14,3.5850 ,1.2788 ,4450.3487 ,5593.2200,3399.6000,5966.0370,4440.2000,5801.3500,6041.5550
2015/9/15,3.3829 ,1.2788 ,4245.2702 ,5478.7740,3294.6770,5624.0470,4228.4800,5454.0450,5732.1930
2015/9/16,3.6362 ,1.2788 ,4490.1330 ,5620.1680,3418.8760,6004.7210,4487.5260,5853.9900,6109.0970
2015/9/17,3.6240 ,1.2788 ,4407.8147 ,5514.2990,3342.0850,5856.5300,4409.5040,5702.7360,6025.9100
2015/9/18,3.7151 ,1.2799 ,4449.1782 ,5510.4380,3347.5320,5902.2150,4466.1720,5759.2030,6099.8470
2015/9/21,3.9125 ,1.2799 ,4570.0325 ,5533.1760,3386.8290,6042.8310,4608.1030,5952.5230,6326.8950
2015/9/22,3.9497 ,1.2799 ,4604.7325 ,5579.4680,3410.1600,6088.9830,4637.1940,6007.3500,6358.8990
2015/9/23,3.9666 ,1.2799 ,4533.2962 ,5444.4650,3344.1450,5964.9200,4573.5560,5919.0540,6304.3350
2015/9/24,4.0071 ,1.2799 ,4581.4480 ,5456.3730,3361.6800,6029.1040,4622.7070,6006.6790,6386.1170
2015/9/25,3.8410 ,1.2810 ,4463.4867 ,5452.3430,3325.7720,5850.4880,4486.6240,5793.7290,6159.2050
2015/9/28,4.0021 ,1.2810 ,4521.8519 ,5416.5550,3338.3040,5901.7400,4573.8600,5897.4690,6319.2920
2015/9/29,3.9443 ,1.2810 ,4440.5637 ,5315.3390,3287.9200,5771.6260,4509.5300,5772.9090,6230.2130
2015/9/30,3.9166 ,1.2810 ,4460.0964 ,5362.7300,3321.6140,5781.0350,4511.6860,5795.1530,6225.4210
2015/10/8,4.1080 ,1.2833 ,4615.6928 ,5467.0040,3399.9630,5992.9230,4664.8520,6021.5420,6484.7420
2015/10/9,4.1613 ,1.2821 ,4681.4077 ,5518.1980,3428.1800,6069.2490,4724.5400,6131.0670,6588.5230
2015/10/12,4.3741 ,1.2833 ,4852.9858 ,5656.0330,3525.7150,6292.2730,4880.0490,6406.8880,6865.9490
2015/10/13,4.4298 ,1.2844 ,4886.2446 ,5619.1920,3523.1450,6335.7690,4920.9780,6486.3330,6936.2340
2015/10/14,4.4408 ,1.2844 ,4829.0979 ,5562.4450,3474.2350,6244.8640,4862.2620,6383.7000,6838.4030
2015/10/15,4.5724 ,1.2844 ,4962.5827 ,5651.9340,3558.4870,6415.0690,4979.9040,6576.1980,7040.7740
2015/10/16,4.6775 ,1.2844 ,5036.5197 ,5702.3180,3603.4080,6545.3080,5030.2960,6711.1810,7142.3940
2015/10/19,4.6132 ,1.2855 ,5036.6554 ,5684.0340,3598.4890,6578.4340,5019.8870,6707.8930,7117.7190
2015/10/20,4.7897 ,1.2855 ,5114.4502 ,5719.3180,3624.9550,6659.6210,5104.3440,6791.2610,7230.8830
2015/10/21,4.6021 ,1.2855 ,4875.2541 ,5739.7070,3549.6370,6238.9810,4846.8010,6296.6460,6782.5700
2015/10/22,4.8543 ,1.2867 ,5009.1602 ,5720.6540,3579.9390,6431.9790,5002.2420,6525.8120,7054.7310
2015/10/23,4.9510 ,1.2867 ,5118.8437 ,5758.6530,3633.1270,6555.1950,5115.9280,6726.6650,7259.0810
2015/10/26,4.8751 ,1.2878 ,5151.2903 ,5764.4130,3652.7600,6590.8090,5135.9930,6766.0850,7305.2050
2015/10/27,4.9254 ,1.2878 ,5174.6157 ,5746.9850,3641.9920,6594.4230,5144.6470,6784.2340,7327.9530
2015/10/28,4.7781 ,1.2889 ,5065.5535 ,5686.4890,3582.0150,6461.3330,5017.5110,6652.0700,7152.8930
2015/10/29,4.7941 ,1.2889 ,5096.5175 ,5688.2730,3590.9430,6521.4420,5044.8180,6735.5270,7216.0670
2015/10/30,4.8689 ,1.2901 ,5090.6437 ,5688.2740,3600.6160,6495.5970,5052.9010,6716.2970,7186.7470
2015/11/2,4.7569 ,1.2901 ,4989.7042 ,5629.3220,3554.5270,6363.1560,4939.2210,6591.6850,7033.8820
2015/11/3,4.7635 ,1.2901 ,4978.4912 ,5608.7010,3546.9040,6350.4470,4913.9340,6576.3380,7026.7950
2015/11/4,5.0608 ,1.2901 ,5221.3597 ,5810.9330,3701.8030,6635.4380,5163.0420,6898.9600,7369.3420
2015/11/5,5.0510 ,1.2901 ,5274.3720 ,5954.9750,3772.3900,6709.6480,5153.1880,6920.8670,7360.6900
2015/11/6,5.2368 ,1.2912 ,5401.9236 ,6020.6540,3856.5140,6819.7290,5279.8690,7052.8510,7546.9470
2015/11/9,5.3990 ,1.2912 ,5481.5322 ,6155.0250,3930.8460,6873.3750,5341.6400,7137.8570,7659.2240
2015/11/10,5.4213 ,1.2901 ,5498.4812 ,6102.5780,3920.7670,6892.7780,5366.4300,7158.9710,7745.1470
2015/11/11,5.5434 ,1.2901 ,5551.0834 ,6050.3120,3908.3740,6923.5640,5438.5500,7229.6530,7879.0760
2015/11/12,5.5184 ,1.2901 ,5533.3608 ,5981.7870,3865.5100,6875.4160,5423.8930,7201.9410,7883.8890
